u,y_ref_observed_px,y_ref_short_gap_px,y_ref_smooth_px,sigma_ref_px,valid_fraction,valid_frame_count,fwhm_p50_px,source
0,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
1,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
2,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
3,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
4,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
5,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
6,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
7,NaN,NaN,NaN,NaN,0.02,1,NaN,outside_reference_surface
8,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
9,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
10,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
11,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
12,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
13,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
14,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
15,NaN,NaN,NaN,NaN,0.96,48,NaN,outside_reference_surface
16,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
17,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
18,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
19,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
20,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
21,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
22,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
23,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
24,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
25,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
26,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
27,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
28,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
29,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
30,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
31,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
32,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
33,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
34,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
35,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
36,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
37,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
38,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
39,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
40,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
41,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
42,NaN,NaN,NaN,NaN,0.5,25,NaN,outside_reference_surface
43,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
44,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
45,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
46,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
47,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
48,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
49,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
50,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
51,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
52,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
53,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
54,NaN,NaN,NaN,NaN,0.42,21,NaN,outside_reference_surface
55,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
56,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
57,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
58,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
59,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
60,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
61,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
62,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
63,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
64,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
65,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
66,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
67,NaN,NaN,NaN,NaN,0.56,28,NaN,outside_reference_surface
68,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
69,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
70,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
71,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
72,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
73,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
74,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
75,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
76,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
77,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
78,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
79,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
80,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
81,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
82,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
83,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
84,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
85,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
86,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
87,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
88,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
89,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
90,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
91,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
92,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
93,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
94,NaN,NaN,NaN,NaN,1.0,50,NaN,outside_reference_surface
95,NaN,NaN,NaN,NaN,0.0,0,NaN,outside_reference_surface
